S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
4334,11/06/2020,Delhi,32810,19581,12245,984
4335,12/06/2020,Delhi,34687,20871,12731,1085
4336,13/06/2020,Delhi,36824,22212,13398,1214
4337,14/06/2020,Delhi,38958,22742,14945,1271
4338,15/06/2020,Delhi,41182,24032,15823,1327
4339,16/06/2020,Delhi,42829,25002,16427,1400
4340,17/06/2020,Delhi,44688,26351,16500,1837
4341,18/06/2020,Delhi,47102,27741,17457,1904
4342,19/06/2020,Delhi,49979,26669,21341,1969
4343,20/06/2020,Delhi,53116,27512,23569,2035
4344,21/06/2020,Delhi,56746,23340,31294,2112
4345,22/06/2020,Delhi,59746,24558,33013,2175
4346,23/06/2020,Delhi,62655,23820,36602,2233
4347,24/06/2020,Delhi,66602,24988,39313,2301
4348,25/06/2020,Delhi,70390,26588,41437,2365
4349,26/06/2020,Delhi,73780,26586,44765,2429
4350,27/06/2020,Delhi,77240,27657,47091,2492
4351,28/06/2020,Delhi,80188,28329,49301,2558
4352,29/06/2020,Delhi,83077,27847,52607,2623
4353,30/06/2020,Delhi,85161,26246,56235,2680
4354,01/07/2020,Delhi,87360,26270,58348,2742
4355,02/07/2020,Delhi,89802,27007,59992,2803
4356,03/07/2020,Delhi,92175,26304,63007,2864
4357,04/07/2020,Delhi,94695,26148,65624,2923
4358,05/07/2020,Delhi,97200,25940,68256,3004
4359,06/07/2020,Delhi,99444,25038,71339,3067
4360,07/07/2020,Delhi,100823,25620,72088,3115
4361,08/07/2020,Delhi,102831,25449,74217,3165
4362,09/07/2020,Delhi,104864,23452,78199,3213
4363,10/07/2020,Delhi,107051,21567,82226,3258
4364,11/07/2020,Delhi,109140,21146,84694,3300
4365,12/07/2020,Delhi,110921,19895,87692,3334
4366,13/07/2020,Delhi,112494,19155,89968,3371
4367,14/07/2020,Delhi,113740,19017,91312,3411
4368,15/07/2020,Delhi,115346,18664,93236,3446
4369,16/07/2020,Delhi,116993,17807,95699,3487
4370,17/07/2020,Delhi,118645,17407,97693,3545
4371,18/07/2020,Delhi,120107,17235,99301,3571
4372,19/07/2020,Delhi,121582,16711,101274,3597
4373,20/07/2020,Delhi,122793,16031,103134,3628
4374,21/07/2020,Delhi,123747,15166,104918,3663
4375,22/07/2020,Delhi,125096,15288,106118,3690
4376,23/07/2020,Delhi,126323,14954,107650,3719
4377,24/07/2020,Delhi,127364,14554,109065,3745
4378,25/07/2020,Delhi,128389,13681,110931,3777
4379,26/07/2020,Delhi,129531,12657,113068,3806
4380,27/07/2020,Delhi,130606,11904,114875,3827
4381,28/07/2020,Delhi,131219,10994,116372,3853
4382,29/07/2020,Delhi,132275,10887,117507,3881
4383,30/07/2020,Delhi,133310,10770,118633,3907
4384,31/07/2020,Delhi,134403,10743,119724,3936
4385,01/08/2020,Delhi,135598,10705,120930,3963
4386,02/08/2020,Delhi,136716,10596,122131,3989
4387,03/08/2020,Delhi,137677,10356,123317,4004
4388,04/08/2020,Delhi,138482,10207,124254,4021
4389,05/08/2020,Delhi,139156,9897,125226,4033
4390,06/08/2020,Delhi,140232,10072,126116,4044
4391,07/08/2020,Delhi,141531,10348,127124,4059
4392,08/08/2020,Delhi,142723,10409,128232,4082
4393,09/08/2020,Delhi,144127,10667,129362,4098
4394,10/08/2020,Delhi,145427,10729,130587,4111
4395,11/08/2020,Delhi,146134,10346,131657,4131
4396,12/08/2020,Delhi,147391,10868,132384,4139
4397,13/08/2020,Delhi,148504,10946,133405,4153
4398,14/08/2020,Delhi,149460,10975,134318,4167
4399,15/08/2020,Delhi,150652,11366,135108,4178
4400,16/08/2020,Delhi,151928,11489,136251,4188
4401,17/08/2020,Delhi,152580,10823,137561,4196
4402,18/08/2020,Delhi,153367,10852,138301,4214
4403,19/08/2020,Delhi,154741,11068,139447,4226
4404,20/08/2020,Delhi,156139,11137,140767,4235
4405,21/08/2020,Delhi,157354,11271,141826,4257
4406,22/08/2020,Delhi,158604,11426,142908,4270
4407,23/08/2020,Delhi,160016,11594,144138,4284
4408,24/08/2020,Delhi,161466,11778,145388,4300
4409,25/08/2020,Delhi,162527,11626,146588,4313
4410,26/08/2020,Delhi,164071,11998,147743,4330
4411,27/08/2020,Delhi,165764,12520,148897,4347
4412,28/08/2020,Delhi,167604,13208,150027,4369
4413,29/08/2020,Delhi,169412,13550,151473,4389
4414,30/08/2020,Delhi,171366,14040,152922,4404
4415,31/08/2020,Delhi,173390,14793,154171,4426
4416,01/09/2020,Delhi,174748,14626,155678,4444
4417,02/09/2020,Delhi,177060,15870,156728,4462
4418,03/09/2020,Delhi,179569,16502,158586,4481
4419,04/09/2020,Delhi,182306,17692,160114,4500
4420,05/09/2020,Delhi,185220,18842,161865,4513
4421,06/09/2020,Delhi,188193,19870,163785,4538
4422,07/09/2020,Delhi,191449,20909,165973,4567
4423,08/09/2020,Delhi,193526,20543,168384,4599
4424,09/09/2020,Delhi,197135,22377,170140,4618
4425,10/09/2020,Delhi,201174,23773,172763,4638
4426,11/09/2020,Delhi,205482,25416,175400,4666
4427,12/09/2020,Delhi,209748,26907,178154,4687
4428,13/09/2020,Delhi,214069,28059,181295,4715
4429,14/09/2020,Delhi,218304,28812,184748,4744
4430,15/09/2020,Delhi,221533,28641,188122,4770
4431,16/09/2020,Delhi,225796,29787,191203,4806
4432,17/09/2020,Delhi,230269,30914,194516,4839
4433,18/09/2020,Delhi,234701,31721,198103,4877
4434,19/09/2020,Delhi,238828,32250,201671,4907
4435,20/09/2020,Delhi,242899,32064,205890,4945
4436,21/09/2020,Delhi,246711,32097,209632,4982
4437,22/09/2020,Delhi,249259,30941,213304,5014
4438,23/09/2020,Delhi,253075,31623,216401,5051
4439,24/09/2020,Delhi,256789,30836,220866,5087
4440,25/09/2020,Delhi,260623,31125,224375,5123
4441,26/09/2020,Delhi,264450,30867,228436,5147
4442,27/09/2020,Delhi,267822,29717,232912,5193
4443,28/09/2020,Delhi,271114,29228,236651,5235
4444,29/09/2020,Delhi,273098,27123,240703,5272
4445,30/09/2020,Delhi,276325,27524,243481,5320
4446,01/10/2020,Delhi,279715,26908,247446,5361
4447,02/10/2020,Delhi,282752,26738,250613,5401
4448,03/10/2020,Delhi,285672,26450,253784,5438
4449,04/10/2020,Delhi,287930,25234,257224,5472
4450,05/10/2020,Delhi,290613,24753,260350,5510
4451,06/10/2020,Delhi,292560,23080,263938,5542
4452,07/10/2020,Delhi,295236,22720,266935,5581
4453,08/10/2020,Delhi,298107,22186,270305,5616
4454,09/10/2020,Delhi,300833,22232,272948,5653
4455,10/10/2020,Delhi,303693,21955,276046,5692
4456,11/10/2020,Delhi,306559,22007,278812,5740
4457,12/10/2020,Delhi,309339,21701,281869,5769
4458,13/10/2020,Delhi,311188,20535,284844,5809
4459,14/10/2020,Delhi,314224,21490,286880,5854
4460,15/10/2020,Delhi,317548,21903,289747,5898
4461,16/10/2020,Delhi,321031,22605,292502,5924
4462,17/10/2020,Delhi,324459,22814,295699,5946
4463,18/10/2020,Delhi,327718,22884,298853,5981
4464,19/10/2020,Delhi,331017,23292,301716,6009
4465,20/10/2020,Delhi,333171,22570,304561,6040
4466,21/10/2020,Delhi,336750,23922,306747,6081
4467,22/10/2020,Delhi,340436,24117,310191,6128
4468,23/10/2020,Delhi,344318,25237,312918,6163
4469,24/10/2020,Delhi,348404,26001,316214,6189
4470,25/10/2020,Delhi,352520,26467,319828,6225
4471,26/10/2020,Delhi,356656,26744,323654,6258
4472,27/10/2020,Delhi,359488,25786,327390,6312
4473,28/10/2020,Delhi,364341,27873,330112,6356
4474,29/10/2020,Delhi,370014,29378,334240,6396
4475,30/10/2020,Delhi,375753,30952,338378,6423
4476,31/10/2020,Delhi,381644,32363,342811,6470
4477,01/11/2020,Delhi,386706,32719,347476,6511
4478,02/11/2020,Delhi,392370,34173,351635,6562
4479,03/11/2020,Delhi,396371,33308,356459,6604
4480,04/11/2020,Delhi,403096,36375,360069,6652
4481,05/11/2020,Delhi,409938,37369,365866,6703
4482,06/11/2020,Delhi,416653,38729,371155,6769
4483,07/11/2020,Delhi,423831,39722,377276,6833
4484,08/11/2020,Delhi,430784,40258,383614,6912
4485,09/11/2020,Delhi,438529,41857,389683,6989
4486,10/11/2020,Delhi,443552,39795,396697,7060
4487,11/11/2020,Delhi,451382,41385,402854,7143
4488,12/11/2020,Delhi,459975,42629,410118,7228
4489,13/11/2020,Delhi,467028,43116,416580,7332
4490,14/11/2020,Delhi,474830,44329,423078,7423
4491,15/11/2020,Delhi,482170,44456,430195,7519
4492,16/11/2020,Delhi,485405,39990,437801,7614
4493,17/11/2020,Delhi,489202,40128,441361,7713
4494,18/11/2020,Delhi,495598,42004,445782,7812
4495,19/11/2020,Delhi,503084,42458,452683,7943
4496,20/11/2020,Delhi,510630,43221,459368,8041
4497,21/11/2020,Delhi,517238,40936,468143,8159
4498,22/11/2020,Delhi,523117,39741,475106,8270
4499,23/11/2020,Delhi,529863,40212,481260,8391
4500,24/11/2020,Delhi,534317,37329,488476,8512
4501,25/11/2020,Delhi,540541,38501,493419,8621
4502,26/11/2020,Delhi,545787,38287,498780,8720
4503,27/11/2020,Delhi,551262,38734,503717,8811
4504,28/11/2020,Delhi,556744,38181,509654,8909
4505,29/11/2020,Delhi,561742,36578,516166,8998
4506,30/11/2020,Delhi,566648,35091,522491,9066
4507,01/12/2020,Delhi,570374,32885,528315,9174
4508,02/12/2020,Delhi,574380,31769,533351,9260
4509,03/12/2020,Delhi,578324,30302,538680,9342
4510,04/12/2020,Delhi,582058,29120,543514,9424
4511,05/12/2020,Delhi,586125,28252,548376,9497
4512,06/12/2020,Delhi,589544,26678,553292,9574
4513,07/12/2020,Delhi,592250,24693,557914,9643
4514,08/12/2020,Delhi,593924,22486,561732,9706
4515,09/12/2020,Delhi,597112,22310,565039,9763
4516,10/12/2020,Delhi,599575,20546,569216,9813
4517,11/12/2020,Delhi,601150,18753,572523,9874
4518,12/12/2020,Delhi,603535,18676,574925,9934
4519,13/12/2020,Delhi,605470,17373,578116,9981
4520,14/12/2020,Delhi,607454,16785,580655,10014
4521,15/12/2020,Delhi,608830,15247,583509,10074
4522,17/12/2020,Delhi,611994,13261,588586,10147
4523,18/12/2020,Delhi,613357,12198,590977,10182
4524,19/12/2020,Delhi,614775,11419,593137,10219
4525,20/12/2020,Delhi,615914,10358,595305,10251
4526,21/12/2020,Delhi,617005,10148,596580,10277
4527,22/12/2020,Delhi,617808,9255,598249,10304
4528,23/12/2020,Delhi,618747,8735,599683,10329
4529,24/12/2020,Delhi,619618,8003,601268,10347
4530,25/12/2020,Delhi,620681,7909,602388,10384
4531,26/12/2020,Delhi,621439,7267,603758,10414
4532,27/12/2020,Delhi,622094,6911,604746,10437
4533,28/12/2020,Delhi,622851,6713,605685,10453
4534,29/12/2020,Delhi,623415,6297,606644,10474
4535,30/12/2020,Delhi,624118,6122,607494,10502
4536,31/12/2020,Delhi,624795,5838,608434,10523
4537,03/01/2021,Delhi,626448,5342,610535,10571
4538,04/01/2021,Delhi,626872,5044,611243,10585
4539,05/01/2021,Delhi,627256,4689,611970,10597
4540,06/01/2021,Delhi,627698,4562,612527,10609
4541,07/01/2021,Delhi,628352,4481,613246,10625
4542,08/01/2021,Delhi,628838,4168,614026,10644
4543,09/01/2021,Delhi,629282,3779,614849,10654
4544,10/01/2021,Delhi,629801,3683,615452,10666
4545,11/01/2021,Delhi,630200,3468,616054,10678
4546,12/01/2021,Delhi,630506,3354,616461,10691
4547,13/01/2021,Delhi,630892,3179,617006,10707
4548,14/01/2021,Delhi,631249,2991,617540,10718
4549,15/01/2021,Delhi,631589,2937,617930,10722
4550,16/01/2021,Delhi,631884,2795,618357,10732
4551,17/01/2021,Delhi,632183,2691,618754,10738
4552,18/01/2021,Delhi,632429,2544,619139,10746
4553,19/01/2021,Delhi,632590,2335,619501,10754
4554,20/01/2021,Delhi,632821,2334,619723,10764
4555,21/01/2021,Delhi,633049,2147,620128,10774
4556,22/01/2021,Delhi,633276,2120,620374,10782
4557,23/01/2021,Delhi,633542,2060,620693,10789
4558,24/01/2021,Delhi,633739,1880,621060,10799
4559,25/01/2021,Delhi,633924,1741,621375,10808
4560,27/01/2021,Delhi,634229,1626,621783,10820
4561,28/01/2021,Delhi,634325,1501,621995,10829
4562,29/01/2021,Delhi,634524,1575,622114,10835
4563,30/01/2021,Delhi,634773,1551,622381,10841
4564,31/01/2021,Delhi,634956,1436,622671,10849
4565,01/02/2021,Delhi,635096,1361,622882,10853
4566,02/02/2021,Delhi,635217,1265,623096,10856
4567,03/02/2021,Delhi,635331,1217,623256,10858
4568,04/02/2021,Delhi,635481,1208,623409,10864
4569,05/02/2021,Delhi,635639,1194,623574,10871
4570,06/02/2021,Delhi,635793,1206,623714,10873
4571,07/02/2021,Delhi,635916,1174,623865,10877
4572,08/02/2021,Delhi,636035,1112,624044,10879
4573,09/02/2021,Delhi,636160,1096,624182,10882
4574,10/02/2021,Delhi,636260,1052,624326,10882
4575,11/02/2021,Delhi,636387,1177,624326,10884
4576,12/02/2021,Delhi,636529,1051,624592,10886
4577,13/02/2021,Delhi,636670,1053,624728,10889
4578,14/02/2021,Delhi,636796,1041,624866,10889
4579,15/02/2021,Delhi,636946,1031,625024,10891
4580,16/02/2021,Delhi,637087,1036,625158,10893
4581,17/02/2021,Delhi,637181,1019,625268,10894
4582,18/02/2021,Delhi,637315,1078,625343,10894
4583,19/02/2021,Delhi,637445,1053,625496,10896
4584,20/02/2021,Delhi,637603,1053,625653,10897
4585,21/02/2021,Delhi,637755,1025,625832,10898
4586,22/02/2021,Delhi,637900,1071,625929,10900
4587,23/02/2021,Delhi,638028,1041,626086,10901
4588,24/02/2021,Delhi,638173,1009,626261,10903
4589,25/02/2021,Delhi,638373,1137,626331,10905
4590,26/02/2021,Delhi,638593,1169,626519,10905
4591,27/02/2021,Delhi,638849,1231,626712,10906
4592,01/03/2021,Delhi,639289,1335,627044,10910
4593,02/03/2021,Delhi,639464,1404,627149,10911
4594,03/03/2021,Delhi,639681,1543,627227,10911
4595,04/03/2021,Delhi,639921,1584,627423,10914
4596,06/03/2021,Delhi,640494,1779,627797,10918
4597,07/03/2021,Delhi,640815,1779,628117,10919
4598,08/03/2021,Delhi,641101,1803,628377,10921
4599,09/03/2021,Delhi,641340,1730,628686,10924
4600,10/03/2021,Delhi,641660,1812,628920,10928
4601,11/03/2021,Delhi,642030,1900,629199,10931
4602,13/03/2021,Delhi,642870,2093,629841,10936
4603,14/03/2021,Delhi,643289,2207,630143,10939
4604,15/03/2021,Delhi,643696,2262,630493,10941
4605,16/03/2021,Delhi,644064,2321,630799,10944
4606,17/03/2021,Delhi,644489,2488,631056,10945
4607,18/03/2021,Delhi,645025,2702,631375,10948
4608,19/03/2021,Delhi,645632,2927,631756,10949
4609,20/03/2021,Delhi,646348,3165,632230,10953
4610,21/03/2021,Delhi,647161,3409,632797,10955
4611,22/03/2021,Delhi,647984,3618,633410,10956
4612,23/03/2021,Delhi,648872,3934,633975,10963
4613,24/03/2021,Delhi,649973,4411,634595,10967
4614,25/03/2021,Delhi,651227,4890,635364,10973
4615,27/03/2021,Delhi,654276,6051,637238,10987
4616,28/03/2021,Delhi,655834,6625,638212,10997
4617,29/03/2021,Delhi,657715,7545,639164,11006
4618,30/03/2021,Delhi,659616,8029,640575,11012
4619,31/03/2021,Delhi,660611,7429,642166,11016
4620,01/04/2021,Delhi,662430,8838,642565,11027
4621,02/04/2021,Delhi,665220,10498,643686,11036
4622,03/04/2021,Delhi,668814,11994,645770,11050
4623,04/04/2021,Delhi,672381,12647,648674,11060
4624,05/04/2021,Delhi,676414,13982,651351,11081
4625,06/04/2021,Delhi,679962,14589,654277,11096
4626,07/04/2021,Delhi,685062,17332,656617,11113
4627,08/04/2021,Delhi,690568,19455,659980,11133
4628,09/04/2021,Delhi,698005,23181,663667,11157
4629,10/04/2021,Delhi,706526,26631,668699,11196
4630,11/04/2021,Delhi,714423,28773,674415,11235
4631,12/04/2021,Delhi,725197,34341,679573,11283
4632,13/04/2021,Delhi,736688,38095,687238,11355
4633,14/04/2021,Delhi,750156,43510,695210,11436
4634,15/04/2021,Delhi,767438,50736,705162,11540
4635,16/04/2021,Delhi,784137,54309,718176,11652
4636,17/04/2021,Delhi,803623,61005,730825,11793
4637,18/04/2021,Delhi,827998,69799,746239,11960
4638,19/04/2021,Delhi,853460,74941,766398,12121
4639,20/04/2021,Delhi,877146,76887,787898,12361
4640,21/04/2021,Delhi,905541,85575,807328,12638
4641,22/04/2021,Delhi,930179,85364,831928,12887
4642,23/04/2021,Delhi,956348,91618,851537,13193
4643,24/04/2021,Delhi,980679,92029,875109,13541
4644,25/04/2021,Delhi,1004782,93080,897804,13898
4645,26/04/2021,Delhi,1027715,94592,918875,14248
4646,27/04/2021,Delhi,1047916,92358,940930,14628
4647,28/04/2021,Delhi,1072065,98264,958792,15009
4648,29/04/2021,Delhi,1098051,103424,979250,15377
4649,30/04/2021,Delhi,1122286,97977,1008537,15772
4650,01/05/2021,Delhi,1149333,99361,1033825,16147
4651,02/05/2021,Delhi,1174552,96747,1061246,16559
4652,03/05/2021,Delhi,1194946,92290,1085690,16966
4653,04/05/2021,Delhi,1212989,89592,1105983,17414
4654,05/05/2021,Delhi,1232942,90419,1124771,17752
4655,06/05/2021,Delhi,1253902,91859,1143980,18063
4656,07/05/2021,Delhi,1273035,90629,1164008,18398
4657,08/05/2021,Delhi,1292867,91035,1183093,18739
4658,09/05/2021,Delhi,1310231,87907,1203253,19071
4659,10/05/2021,Delhi,1323567,86232,1217991,19344
4660,11/05/2021,Delhi,1336218,85258,1231297,19663
4661,12/05/2021,Delhi,1348699,83809,1244880,20010
4662,13/05/2021,Delhi,1361986,82725,1258951,20310
4663,14/05/2021,Delhi,1361986,82725,1258951,20310
4664,15/05/2021,Delhi,1372475,77717,1274140,20618
4665,16/05/2021,Delhi,1387411,66295,1299872,21244
4666,17/05/2021,Delhi,1393867,62783,1309578,21506
4667,18/05/2021,Delhi,1398391,56049,1320496,21846
4668,19/05/2021,Delhi,1402873,50863,1329899,22111
4669,20/05/2021,Delhi,1406719,45047,1339326,22346
4670,21/05/2021,Delhi,1409950,40214,1347157,22579
4671,22/05/2021,Delhi,1412959,35683,1354445,22831
4672,23/05/2021,Delhi,1415219,31308,1360898,23013
4673,24/05/2021,Delhi,1416868,27610,1366056,23202
4674,25/05/2021,Delhi,1418418,24578,1370431,23409
4675,26/05/2021,Delhi,1419986,21739,1374682,23565
4676,27/05/2021,Delhi,1421477,19148,1378634,23695
4677,28/05/2021,Delhi,1422549,16378,1382359,23812
4678,30/05/2021,Delhi,1424646,13035,1387538,24073
4679,31/05/2021,Delhi,1425592,12100,1389341,24151
4680,01/06/2021,Delhi,1426240,11040,1390963,24237
4681,02/06/2021,Delhi,1426863,10178,1392386,24299
4682,03/06/2021,Delhi,1427439,9364,1393673,24402
4683,04/06/2021,Delhi,1427926,8748,1394731,24447
4684,05/06/2021,Delhi,1428449,8060,1395892,24497
4685,06/06/2021,Delhi,1428863,6731,1397575,24557
4686,07/06/2021,Delhi,1429244,5889,1398764,24591
4687,08/06/2021,Delhi,1429475,5208,1399640,24627
4688,09/06/2021,Delhi,1429791,4962,1400161,24668
4689,10/06/2021,Delhi,1430128,4511,1400913,24704
4690,11/06/2021,Delhi,1430433,4212,1401473,24748
4691,12/06/2021,Delhi,1430671,3922,1401977,24772
4692,13/06/2021,Delhi,1430884,3610,1402474,24800
4693,14/06/2021,Delhi,1431139,3466,1402850,24823
4694,15/06/2021,Delhi,1431270,3226,1403205,24839
4695,16/06/2021,Delhi,1431498,3078,1403569,24851
4696,17/06/2021,Delhi,1431710,2749,1404085,24876
4697,18/06/2021,Delhi,1431868,2554,1404428,24886
4698,19/06/2021,Delhi,1432033,2445,1404688,24900
4699,20/06/2021,Delhi,1432168,2372,1404889,24907
4700,21/06/2021,Delhi,1432292,2091,1405287,24914
4701,22/06/2021,Delhi,1432381,1996,1405460,24925
4702,23/06/2021,Delhi,1432778,1918,1405927,24933
4703,25/06/2021,Delhi,1433475,1767,1406760,24948
4704,26/06/2021,Delhi,1433590,1680,1406958,24952
4705,27/06/2021,Delhi,1433675,1598,1407116,24961
4706,28/06/2021,Delhi,1433934,1568,1407401,24965
4707,29/06/2021,Delhi,1433993,1553,1407473,24967
4708,30/06/2021,Delhi,1434094,1531,1407592,24971
4709,01/07/2021,Delhi,1434188,1379,1407832,24977
4710,02/07/2021,Delhi,1434281,1357,1407943,24981
4711,03/07/2021,Delhi,1434374,1041,1408350,24983
4712,04/07/2021,Delhi,1434460,1016,1408456,24988
4713,05/07/2021,Delhi,1434554,992,1408567,24995
4714,06/07/2021,Delhi,1434608,912,1408699,24997
4715,07/07/2021,Delhi,1434687,833,1408853,25001
4716,08/07/2021,Delhi,1434780,858,1408917,25005
4717,09/07/2021,Delhi,1434873,847,1409018,25008
4718,10/07/2021,Delhi,1434954,798,1409145,25011
4719,11/07/2021,Delhi,1435030,792,1409226,25012
4720,12/07/2021,Delhi,1435083,743,1409325,25015
4721,13/07/2021,Delhi,1435128,693,1409417,25018
4722,14/07/2021,Delhi,1435204,683,1409501,25020
4723,15/07/2021,Delhi,1435281,688,1409572,25021
4724,16/07/2021,Delhi,1435353,671,1409660,25022
4725,17/07/2021,Delhi,1435419,657,1409739,25023
4726,18/07/2021,Delhi,1435478,621,1409830,25027
4727,19/07/2021,Delhi,1435529,592,1409910,25027
4728,21/07/2021,Delhi,1435609,569,1410005,25035
4729,22/07/2021,Delhi,1435671,566,1410066,25039
4730,26/03/2020,Goa,3,3,0,0
4731,27/03/2020,Goa,3,3,0,0
4732,28/03/2020,Goa,3,3,0,0
4733,29/03/2020,Goa,3,3,0,0
4734,30/03/2020,Goa,5,5,0,0
4735,31/03/2020,Goa,5,5,0,0
4736,01/04/2020,Goa,5,5,0,0
4737,02/04/2020,Goa,5,5,0,0
4738,03/04/2020,Goa,6,6,0,0
4739,04/04/2020,Goa,6,6,0,0
4740,05/04/2020,Goa,7,7,0,0
4741,06/04/2020,Goa,7,7,0,0
4742,07/04/2020,Goa,7,7,0,0
4743,08/04/2020,Goa,7,7,0,0
4744,09/04/2020,Goa,7,7,0,0
4745,10/04/2020,Goa,7,7,0,0
4746,11/04/2020,Goa,7,6,1,0
4747,12/04/2020,Goa,7,2,5,0
4748,13/04/2020,Goa,7,2,5,0
4749,14/04/2020,Goa,7,2,5,0
4750,15/04/2020,Goa,7,2,5,0
4751,16/04/2020,Goa,7,2,5,0
4752,17/04/2020,Goa,7,1,6,0
4753,18/04/2020,Goa,7,1,6,0
4754,19/04/2020,Goa,7,1,6,0
4755,20/04/2020,Goa,7,0,7,0
4756,21/04/2020,Goa,7,0,7,0
4757,22/04/2020,Goa,7,0,7,0
4758,23/04/2020,Goa,7,0,7,0
4759,24/04/2020,Goa,7,0,7,0
4760,25/04/2020,Goa,7,0,7,0
4761,26/04/2020,Goa,7,0,7,0
4762,27/04/2020,Goa,7,0,7,0
4763,28/04/2020,Goa,7,0,7,0
4764,29/04/2020,Goa,7,0,7,0
4765,30/04/2020,Goa,7,0,7,0
4766,01/05/2020,Goa,7,0,7,0
4767,02/05/2020,Goa,7,0,7,0
4768,03/05/2020,Goa,7,0,7,0
4769,04/05/2020,Goa,7,0,7,0
4770,05/05/2020,Goa,7,0,7,0
4771,06/05/2020,Goa,7,0,7,0
4772,07/05/2020,Goa,7,0,7,0
4773,08/05/2020,Goa,7,0,7,0
4774,09/05/2020,Goa,7,0,7,0
4775,10/05/2020,Goa,7,0,7,0
4776,11/05/2020,Goa,7,0,7,0
4777,12/05/2020,Goa,7,0,7,0
4778,13/05/2020,Goa,7,0,7,0
4779,14/05/2020,Goa,7,0,7,0
4780,15/05/2020,Goa,14,7,7,0
4781,16/05/2020,Goa,15,8,7,0
4782,17/05/2020,Goa,17,10,7,0
4783,18/05/2020,Goa,29,22,7,0
4784,19/05/2020,Goa,38,31,7,0
4785,20/05/2020,Goa,46,39,7,0
4786,21/05/2020,Goa,50,43,7,0
4787,22/05/2020,Goa,52,45,7,0
4788,23/05/2020,Goa,54,38,16,0
4789,24/05/2020,Goa,55,39,16,0
4790,25/05/2020,Goa,66,47,19,0
4791,26/05/2020,Goa,67,48,19,0
4792,27/05/2020,Goa,67,39,28,0
4793,28/05/2020,Goa,68,31,37,0
4794,29/05/2020,Goa,69,31,38,0
4795,30/05/2020,Goa,69,28,41,0
4796,31/05/2020,Goa,70,29,41,0
4797,01/06/2020,Goa,70,28,42,0
4798,02/06/2020,Goa,71,29,42,0
4799,03/06/2020,Goa,79,22,57,0
4800,04/06/2020,Goa,79,22,57,0
4801,05/06/2020,Goa,166,109,57,0
4802,06/06/2020,Goa,196,131,65,0
4803,07/06/2020,Goa,267,202,65,0
4804,08/06/2020,Goa,300,235,65,0
4805,09/06/2020,Goa,330,263,67,0
4806,10/06/2020,Goa,359,292,67,0
4807,11/06/2020,Goa,387,320,67,0
4808,12/06/2020,Goa,417,350,67,0
4809,13/06/2020,Goa,463,394,69,0
4810,14/06/2020,Goa,523,453,70,0
4811,15/06/2020,Goa,564,490,74,0
4812,16/06/2020,Goa,592,507,85,0
4813,17/06/2020,Goa,629,544,85,0
4814,18/06/2020,Goa,656,560,96,0
4815,19/06/2020,Goa,705,596,109,0
4816,20/06/2020,Goa,725,607,118,0
4817,21/06/2020,Goa,754,625,129,0
4818,22/06/2020,Goa,754,625,129,0
4819,23/06/2020,Goa,864,711,152,1
4820,24/06/2020,Goa,909,703,205,1
4821,25/06/2020,Goa,951,660,289,2
4822,26/06/2020,Goa,995,658,335,2
4823,27/06/2020,Goa,1039,667,370,2
4824,28/06/2020,Goa,1128,706,420,2
4825,29/06/2020,Goa,1198,717,478,3
4826,30/06/2020,Goa,1198,717,478,3
4827,01/07/2020,Goa,1315,716,596,3
4828,02/07/2020,Goa,1387,713,670,4
4829,03/07/2020,Goa,1482,744,734,4
4830,04/07/2020,Goa,1482,744,734,4
4831,05/07/2020,Goa,1684,853,825,6
4832,06/07/2020,Goa,1761,818,936,7
4833,07/07/2020,Goa,1813,745,1061,7
4834,08/07/2020,Goa,1903,739,1156,8
4835,09/07/2020,Goa,2039,824,1207,8
4836,10/07/2020,Goa,2151,869,1273,9
4837,11/07/2020,Goa,2251,895,1347,9
4838,12/07/2020,Goa,2368,928,1428,12
4839,13/07/2020,Goa,2453,952,1487,14
4840,14/07/2020,Goa,2583,1026,1540,17
4841,15/07/2020,Goa,2753,1128,1607,18
4842,16/07/2020,Goa,2951,1259,1674,18
4843,17/07/2020,Goa,3108,1272,1817,19
4844,18/07/2020,Goa,3304,1337,1946,21
4845,19/07/2020,Goa,3484,1425,2038,21
4846,20/07/2020,Goa,3657,1417,2218,22
4847,21/07/2020,Goa,3853,1469,2361,23
4848,22/07/2020,Goa,4027,1552,2449,26
4849,23/07/2020,Goa,4176,1607,2541,28
4850,24/07/2020,Goa,4350,1666,2655,29
4851,25/07/2020,Goa,4540,1646,2865,29
4852,26/07/2020,Goa,4686,1606,3047,33
4853,27/07/2020,Goa,4861,1549,3277,35
4854,28/07/2020,Goa,5119,1673,3410,36
4855,29/07/2020,Goa,5287,1656,3595,36
4856,30/07/2020,Goa,5489,1666,3784,39
4857,31/07/2020,Goa,5704,1657,4005,42
4858,01/08/2020,Goa,5913,1657,4211,45
4859,02/08/2020,Goa,6193,1707,4438,48
4860,03/08/2020,Goa,6530,1809,4668,53
4861,04/08/2020,Goa,6816,1884,4876,56
4862,05/08/2020,Goa,7075,1901,5114,60
4863,06/08/2020,Goa,7423,2072,5287,64
4864,07/08/2020,Goa,7614,2095,5453,66
4865,08/08/2020,Goa,7947,2282,5595,70
4866,09/08/2020,Goa,8206,2332,5802,72
